Ledger_Type,Major_Head,Head,Sub_Head,Status,Details
Income,BUF,Books,Books,Active,Textbooks and notebooks
Income,BUF,Books,Diary,Active,School diary for students
Income,BUF,Uniform,Belt,Active,School uniform belt
Income,BUF,Uniform,ID-Card,Active,School identification card
Income,BUF,Uniform,Uniform,Active,School uniform - shirt and pants
Income,Bus Booking,Bus Booking,,Active,
Income,Fees,Bus Fees,,Active,
Income,Fees,TC Fees,,Active,Transfer certificate
Income,Fees,Tuition Fees,,Active,
Income,Loan,Management,Ashok Sir,Active,
Income,Loan,Management,Kishor Sir,Active,
Income,Loan,Management,Other,Active,
Income,Loan,Management,Sidharth,Active,
Income,Loan,Management,Sumit Sir,Active,
Income,Loan,Other,Other,Active,
Expense,Other,Advertising,Other,Active,
Expense,Other,Advertising,Parents visit,Active,
Expense,Other,Advertising,Pemphlets,Active,
Expense,Other,Advertising,Social media,Active,
Expense,Other,Affiliation,Haldighati School Fee,Active,
Expense,Other,Affiliation,Haldighati School visit,Active,
Expense,Other,Affiliation,SRK School visit,Active,
Expense,Other,Bills,Electricity,Active,
Expense,Other,Bills,News Paper,Active,
Expense,Other,Bills,Phone,Active,
Expense,Other,Building Maintenance,Building,Active,
Expense,Other,Building Maintenance,Furniture,Active,
Expense,Other,Building Maintenance,Lights,Active,
Expense,Other,Cleaning Inventory,Toilet cleaning,Active,
Expense,Other,Daily run,Other,Active,
Expense,Other,Daily run,Snacks,Active,
Expense,Other,Daily run,Tea,Active,
Expense,Other,Event Celebration,Diwali,Active,
Expense,Other,Event Celebration,Independence Day,Active,
Expense,Other,Event Celebration,Other,Active,
Expense,Other,Event Celebration,Republic Day,Active,
Expense,Other,Event Celebration,Sports week,Active,
Expense,Other,Fee Refund,Fee Refund,Active,
Expense,Other,Misc Salary,Guest teacher salary,Active,
Income,Other,Other,,Active,
Expense,Other,Paper Typing,Paper Typing,Active,
Expense,Other,Stationary,Stationary,Active,
Income,RTE,Fees,,Active,Right to education
Expense,Salary,Non - Teaching Staff,Adminstrator,Active,
Expense,Salary,Non - Teaching Staff,Driver,Active,
Expense,Salary,Other,Other,Active,
Expense,Salary,Salary,Salary,Active,
Expense,Salary,Teaching Staff,Teacher,Active,
Expense,Transport,Diesel Cash,Diesel Cash,Active,
Expense,Transport,Diesel-Bill,Repayment,Active,
Expense,Transport,Diesel-Cash,Bus1 - 4903,Active,
Expense,Transport,Diesel-Cash,Bus2 - 7407,Active,
Expense,Transport,Diesel-Cash,Bus3 - 0597,Active,
Expense,Transport,Diesel-Cash,Other,Active,
Expense,Transport,Diesel-Credit,Bus1 - 4903,Active,
Expense,Transport,Diesel-Credit,Bus2 - 7407,Active,
Expense,Transport,Diesel-Credit,Bus3 - 0597,Active,
Expense,Transport,Diesel-Credit,Other,Active,
Expense,Transport,Transport Maintenance,Bus1 - 4903,Active,
Expense,Transport,Transport Maintenance,Bus2 - 7407,Active,
Expense,Transport,Transport Maintenance,Bus3 - 0597,Active,
Expense,Transport,Transport Maintenance,Other,Active,
